School ID,data_C1_P,data_C2_P,data_OD_P,data_C1_M,data_C2_M,data_OD_M,samplingday1_date,samplingday2_date
S01,X,X,X,,,,15/06/2021,
S02,X,X,X,,,,03/06/2021,
S03,No data for 21/5,X,No data for 21/5,,,,20/05/2021,21/05/2021
S04,X,X,X,,,,18/05/2021,19/05/2021
S05,X,No data,X,,,,18/05/2021,19/05/2021
S06,X,No data for 21/5,X,,,,20/05/2021,21/05/2021
S07,X,X,X,,,,31/05/2021,01/06/2021
S08,No data,X,X,,,,04/06/2021,
S09,X,X,No data for 2/6,,,,01/06/2021,02/06/2021
S10,No data,X,X,,,,04/06/2021,
S11,X,X,X,,,,13/05/2021,14/05/2021
S12,X,X,X,,,,03/06/2021,
S13,X,X,X,,,,01/06/2021,02/06/2021
S14,X,No data from 9-13,X,,,,15/06/2021,
S15,X,X,X,,,,04/06/2021,
S16,X,X,X,,,,03/06/2021,
S17,X,X,X,,,,13/05/2021,14/05/2021
S18,X,X,X,,,,15/06/2021,
S19,X,X,X,,,,28/05/2021,
S20,X,X,No data,,,,25/05/2021,26/05/2021
S21,X,X,X,,,,16/06/2021,
S22,X,X,X,,,,27/05/2021,
S23,X,No data for 26/5,No data for 25/5 until 13:00,Missing,Missing,Missing,25/05/2021,26/05/2021
S24,X,X,No data for 25/5 after 17:00 and 26/5,,,,25/05/2021,26/05/2021
S25,X,X,X,,,,18/05/2021,19/05/2021
S26,X,X,X,,,,28/05/2021,
S27,X,X,X,,,,28/05/2021,
S28,X,No data,X,,,,07/06/2021,08/06/2021
S29,X,X,X,,,,27/05/2021,
S30,X,X,X,,,,27/05/2021,
S31,X,No data for 21/5,X,,,,20/05/2021,21/05/2021
S32,X,X,X,,,,13/05/2021,14/05/2021
S33,X,X,X,,,,08/06/2021,
S34,X,X,X,,,,08/06/2021,
S35,No data,X,X,,,,09/06/2021,
S36,X,X,X,,,,09/06/2021,
S37,X,No data,X,,,,09/06/2021,
S38,X,X,X,,,,16/06/2021,
S39,No data,X,X,,,,16/06/2021,
S40,X,X,X,,,,29/06/2021,30/06/2021
S41,X,X,X,,,,29/06/2021,30/06/2021
S42,X,X,X,,,,29/06/2021,30/06/2021
S43,X,X,No data,,,,06/07/2021,07/07/2021
