record_id;redcap_survey_identifier;form_1_timestamp;city;school_lim;school_nic;school_lar;school_paf;school_fam;year_constr;levels;num_classes;liomenes;paint;paint_places;freq_clean___1;freq_clean___2;freq_clean___3;freq_clean___4;freq_clean___5;freq_clean___6;freq_clean___7;cleaning___1;cleaning___2;cleaning___3;chlorine_use;chlorium_2;pesticides;pest_freq;pest_location___1;pest_location___2;pest_location___3;pest_location___4;pest_location___5;form_1_complete
1;;"2021-04-15 13:26:00";1;;;;;;1960;2;19;1;1;1;0;0;0;0;0;0;0;1;1;0;;;1;4;1;0;0;0;0;2
2;;"2021-04-15 13:41:28";1;;;;;;1985;2;14;0;1;2;0;0;0;0;0;0;0;1;1;1;;;1;3;1;0;0;0;0;2
3;;"2021-05-12 09:28:50";1;7;;;;;1981;2;20;0;2;;1;1;1;1;1;0;0;1;0;0;1;2;2;;0;0;0;0;0;2
4;;"2021-05-13 08:21:11";1;10;;;;;1981;2;17;0;2;;1;1;1;1;1;0;0;1;0;0;2;;2;;0;0;0;0;0;2
5;;"2021-05-14 08:30:26";2;;3;;;;1973;1;21;2;2;;1;1;1;1;1;0;0;1;0;0;2;;2;;0;0;0;0;0;2
6;;"2021-05-17 12:31:07";1;4;;;;;2013;2;19;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;1;5;0;0;1;0;0;2
7;;"2021-05-17 21:47:35";3;;;3;;;2020;1;23;1;2;;1;1;1;1;1;0;0;1;0;0;1;3;2;;0;0;0;0;0;2
8;;"2021-05-18 13:43:25";3;;;2;;;1975;1;19;0;1;3;1;1;1;1;1;0;0;1;0;0;1;1;2;;0;0;0;0;0;2
9;;"2021-05-18 13:47:36";3;;;1;;;2006;2;20;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;1;5;1;0;1;0;0;2
10;;"2021-05-21 16:16:55";3;;;4;;;1986;2;19;2;2;;1;1;1;1;1;0;0;1;0;1;1;5;1;6;0;0;0;1;0;2
11;;"2021-05-21 19:51:05";1;2;;;;;1964;2;16;0;1;3;1;1;1;1;1;0;0;1;0;0;1;5;2;;0;0;0;0;0;2
12;;"2021-05-24 09:13:11";2;;13;;;;1969;1;19;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;2;;0;0;0;0;0;2
13;;"2021-05-24 09:58:26";2;;7;;;;1964;1;15;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;2;;0;0;0;0;0;2
14;;"2021-05-25 11:36:49";1;6;;;;;1957;1;46;0;1;3;1;1;1;1;1;0;0;1;0;0;1;5;2;;0;0;0;0;0;2
15;;"2021-05-27 09:44:07";2;;8;;;;1993;2;30;0;2;;1;1;1;1;1;0;0;1;1;1;2;;1;6;0;1;1;0;0;2
16;;"[not completed]";1;3;;;;;1969;1;14;0;1;2;1;1;1;1;1;0;0;1;1;0;1;3;1;;0;0;0;0;0;0
17;;"2021-05-28 14:29:36";1;3;;;;;1969;2;14;0;1;2;1;1;1;1;1;0;0;1;0;1;1;3;3;;0;0;0;0;0;2
18;;"2021-05-28 14:31:31";1;8;;;;;1977;2;20;2;2;;1;1;1;1;1;0;0;1;0;0;1;5;1;6;0;0;0;1;0;2
19;;"2021-05-28 14:32:21";1;9;;;;;1923;2;25;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;2;;0;0;0;0;0;2
20;;"2021-05-31 10:01:11";2;;9;;;;1953;2;22;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;3;;0;0;0;0;0;2
21;;"2021-06-01 20:54:16";3;;;6;;;1993;2;19;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;1;5;1;0;1;0;0;2
22;;"2021-06-02 10:40:15";2;;4;;;;1982;1;10;0;1;3;1;1;1;1;1;0;0;1;1;1;1;5;3;;0;0;0;0;0;2
23;;"2021-06-02 10:47:25";4;;;;4;;1953;2;14;0;2;;1;1;1;1;1;0;0;1;0;0;2;;2;;0;0;0;0;0;2
24;;"2021-06-03 07:53:53";1;1;;;;;1972;2;14;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;3;;0;0;0;0;0;2
25;;"2021-06-03 09:31:22";2;;1;;;;1960;2;15;0;1;2;1;1;1;1;1;0;0;1;0;1;1;5;1;6;1;0;0;0;0;2
26;;"2021-06-03 11:18:41";2;;11;;;;1959;2;10;0;2;;1;1;1;1;1;0;0;1;0;0;2;;1;6;0;1;0;1;0;2
27;;"2021-06-04 10:10:08";2;;10;;;;1947;1;11;0;2;;1;1;1;1;1;0;0;1;0;0;2;;1;6;1;0;0;0;0;2
28;;"2021-06-04 10:15:57";5;;;;;2;1887;2;28;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;4;0;0;0;1;0;2
29;;"2021-06-07 10:23:21";4;;;;2;;1968;2;20;0;2;;1;1;1;1;1;0;0;1;0;0;2;;1;4;1;0;0;0;0;2
30;;"2021-06-07 12:57:30";2;;6;;;;1925;2;14;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;1;5;0;0;0;1;0;2
31;;"2021-06-09 10:30:50";1;5;;;;;1949;2;15;0;1;3;1;1;1;1;1;0;0;1;0;0;1;5;1;2;0;0;0;1;0;2
32;;"2021-06-09 18:18:36";4;;;;3;;1963;2;20;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;3;;0;0;0;0;0;2
33;;"2021-06-09 18:23:57";1;11;;;;;1923;2;15;1;1;1;1;1;1;1;1;0;0;1;0;0;1;5;1;5;1;0;0;0;0;2
34;;"2021-06-10 09:49:38";4;;;;1;;1971;2;19;0;2;;1;1;1;1;1;0;0;1;0;0;1;2;1;5;0;0;0;1;0;2
35;;"2021-06-14 13:01:40";2;;12;;;;2007;2;24;0;2;;1;1;1;1;1;0;0;1;1;1;1;1;1;5;1;0;0;0;0;2
36;;"2021-06-15 09:20:25";2;;14;;;;1874;2;20;2;2;;1;1;1;1;1;0;0;1;0;0;1;5;1;3;0;0;1;0;0;2
37;;"2021-06-15 11:14:45";2;;2;;;;1991;2;30;2;2;;1;1;1;1;1;0;0;1;0;0;1;2;1;2;0;0;1;0;0;2
38;;"2021-06-15 11:29:46";3;;;7;;;2020;2;18;0;1;3;1;1;1;1;1;0;0;1;1;0;1;5;2;;0;0;0;0;0;2
39;;"2021-06-15 13:16:40";5;;;;;1;1923;2;12;0;2;;1;1;1;1;1;0;0;1;0;1;2;;3;;0;0;0;0;0;2
40;;"2021-06-16 10:45:16";3;;;5;;;1924;2;23;2;2;;1;1;1;1;1;0;0;1;0;0;1;5;1;5;1;0;0;0;0;2
41;;"2021-06-16 11:28:14";2;;5;;;;1916;2;21;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;1;2;0;0;1;0;0;2
42;;"2021-06-17 12:59:12";2;;15;;;;1977;2;26;0;2;;1;1;1;1;1;0;0;1;1;0;1;5;1;4;0;0;0;1;0;2
43;;"2021-06-18 13:41:38";1;13;;;;;1985;2;20;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;1;4;0;0;0;1;0;2
44;;"2021-06-18 13:42:58";3;;;8;;;1964;2;27;3;2;;1;1;1;1;1;0;0;1;0;0;1;5;1;5;0;0;0;1;0;2
45;;"2021-06-18 13:44:16";1;12;;;;;1916;2;25;0;1;1;1;1;1;1;1;0;0;1;0;0;1;5;1;5;1;0;0;0;0;2
46;;"2021-07-01 13:50:30";4;;;;5;;2007;2;19;0;2;;1;1;1;1;1;0;0;1;0;0;1;5;3;;0;0;0;0;0;2
